COUNTRY,groupHDI2012
100,2
104,4
108,4
112,2
116,3
12,2
120,4
124,1
132,3
140,4
144,2
148,4
152,1
160,1
170,2
174,4
178,4
180,4
188,2
191,1
192,2
196,1
203,1
204,4
208,1
214,3
218,2
222,3
226,3
231,4
232,4
233,1
24,4
242,3
246,1
250,1
254,1
258,1
262,4
266,3
268,2
270,4
275,3
276,1
288,3
300,1
31,2
312,1
316,2
32,1
320,3
324,4
328,3
332,4
340,3
348,1
352,1
356,3
36,1
360,3
364,2
368,3
372,1
376,1
380,1
384,4
388,2
392,1
398,2
4,4
40,1
400,3
404,4
408,3
410,1
414,2
417,3
418,3
422,2
426,4
428,1
430,4
434,2
44,2
440,1
442,1
450,4
454,4
458,2
462,3
466,4
470,1
474,1
478,4
48,2
480,2
484,2
496,3
498,3
499,2
50,4
504,3
508,4
51,2
512,2
516,3
52,1
524,4
528,1
540,1
548,3
554,1
558,3
56,1
562,4
566,4
578,1
586,4
591,2
598,4
600,3
604,2
608,3
616,1
620,1
624,4
626,3
630,2
634,1
638,1
64,3
642,2
643,2
646,4
68,3
682,2
686,4
688,2
694,4
70,2
702,1
703,1
704,3
705,1
706,4
710,3
716,4
72,3
724,1
728,4
729,4
732,3
740,3
748,3
752,1
756,1
76,2
760,3
762,3
764,3
768,4
780,2
784,1
788,2
792,2
795,3
8,2
800,4
804,2
807,2
818,3
826,1
834,4
84,3
840,1
854,4
858,2
860,3
862,2
882,3
887,4
894,4
90,4
96,1
